PM ID,Property Name
2406513,NOS - Beaufort - TRACTOR STORAGE - AO
2406525,NESDIS - WCDAS SHOP/GARAGE/STORAGE - AO
2406527,NESDIS - FCDAS OSPO RANGE RATE BLDG - AO
2406529,NESDIS - WCDAS OSDPD FACILITY OBF - AO
2406567,NOS - Beaufort - ECOLOGY NORTH WING - AO
2406587,OAR - Friz Peak Obs LAB BUILDING 1 - AO
2406591,OAR - GARAGE NESDIS NSF Barrow - AO
2406593,COMPUTER ADDITION (Bldg 18A)
2406595,NOAA - OAR AOML Miami FL Site
2406607,NOS - Beaufort - ANNEX - AO
2406609,NOS - Beaufort - ADMINISTRATION - AO
2406611,NESDIS - FCDAS SUPPLY WAREHOUSE - AO
2406613,NESDIS - WCDAS UTILITY BUILDING - AO
2406619,NOAA - NMAO - Ketchikan - AO
2406631,NOS - THE LANDING TERMINAL - GL
2406637,NOAA - NOS - PUMP HOUSE BLDG 10 - AO
2406639,NOS - NOS KASISTSNA BAY LABORATORY STORAGE SHED - AO
2406643,NOAA - NOS - MAIN BLDG - ADMIN AND RESEARCH - AO
2406661,NOAA - OAR - Hilo Office- AL
2406663,NOAA - OAR ARL Main Building Air Resources Lab Oak Ridge - AO
2406665,NOAA - OAR ARL Laboratory & Storage Space Oak Ridge TN - AO
2406667,NOAA - OAR - GMCC OBSERVATORY OFFICE MAUNA LOA - AO
2406673,OAR - AOML STORAGE BUILDING - AO
2406679,NOS - 113 HARBOR WAY - GL
2406683,NESDIS - FCDAS TRANSMITTER BLDG - AO
2406685,NESDIS - WCDAS METAL STORAGE PRE-ENG BLDG. - AO
2406687,NESDIS - WCDAS CAMPUS - AO
2406689,NESDIS - FCDAS GRAVEL STORAGE BLDG - AO
2406691,NESDIS - FCDAS OSPO GENERATOR BLDG - AO
2406697,"NOAA - NMAO - NEWPORT, OR"
2406699,NOAA - NMAO - KODIAK - GL
2406713,NOS - THE MARINERS MUSEUM (TMM) - AL
2406715,NOS - STELLWAGEN BANK NMS CAMPUS - AO
2406723,NOS - GFNMS - Bldg 1903 - Lifeboat Station - AL
2406725,NOS - KUKUI GROVE EXECUTIVE CENTER - GL
2406727,Wet Lab Bldg
2406745,NOAA - OAR ARL Meterological Computer Lab Oak Ridge TN - AO
2406747,OAR - LAB BLDG - AO
2406751,OAR - Fritz Peak Obs - COTTAGE - AO
2406753,NOS - WOODFORD 5 - AO
2406759,NOS - Beaufort - BOAT LOCKER - AO
2406763,ARCHIVE- NESDIS - WORLD WEATHER - DGL - VACATED 2013
2406765,NESDIS - FCDAS VLBI OPERATIONS BLDG - AO
2406769,NESDIS - NOAA SATELLITE OPERATIONS FACILITY - GO
2406773,NESDIS - FCDAS OSPO BOOM TRUCK GARAGE - AO
2406775,NOAA - NMAO - AOC @ MACDILL AFB-BLDG #44 - AL
2406805,NOAA - OAR - Earth Systems Res Lab Table Mtn E-12-B - AO
2406807,NOAA-OAR-GLERL-Bldg 2
2406809,NOS - WOODFORD 7 - AO
2406819,NOS - BEAUFORT - AO
2406821,NESDIS - FCDAS OPERATIONS BUILDING - AO
2406827,NESDIS - WCDAS METAL STORAGE BUILDING #2 - AO
2406829,NESDIS - FCDAS FACILITIES BLDG - AO
2406831,NOAA - INGLEWOOD - GL
2406835,NOAA - NMAO - MOA BUILDING #2/OFFICE/RESEARCH - AO
2406858,NOS - GFNMS - Bldg 1902 - Residence Garage - AL
2406860,NOS - GFNMS - Bldg 1901 - Residence - AL
2406866,NOS - MPA CENTER - AL
2406868,Conference Room Bldg
2406870,Visitor Center Bldg
2406888,NOAA - OAR ARL Wind Tunnel Facility Oak Ridge TN - AO
2406892,NOS - WOODFORD 2 - AO
2406894,NOS - Beaufort - WATERSIDE - AO
2406904,NESDIS - FCDAS STORAGE VLBI 26M - AO
2406908,NESDIS - FCDAS OSPO CAFETERIA UTILITY BLDG - AO
2406912,NOAA - NMAO - ELECTRICAL BUILDING - AO
2414306,NOAA-NMFS-NW-AFSC-EMERGENCY GENERATOR SHED-AO
2414308,NOAA-NMFS-NW-AFSC-CONVERTED ALASKA FSC WET LAB-AO
2414310,NOAA-NMFS-NW-AFSC-AQUACULTURE LAB NAL (950)-AO
2414312,NOAA-NMFS-NE-FSC-OLD WORKSHOP-AO
2414330,NOAA-NMFS-SE-FSC-LAFAYETTE 5-AO
2414332,NOAA-NMFS-SE-FSC-LAFAYETTE 3-AO
2414336,NOAA-NMFS-SE-FSC-BLDG 302-RESEARCH LAB/OFFICES-AO
2414338,NOAA-NMFS-NW-FSC-STORAGE BUILDING-AO
2414340,NOAA-NMFS-NW--MUKILTEO-AL
2414364,NOAA-NMFS-NE-FSC-GARAGE STORAGE BUILDING-AO
2414384,NOAA-NMFS-SE-FSC-BLDG 306-SCIENTIFIC LABS/OFFICES-AO
2414386,NOAA-NMFS-SE-FSC-BLDG 305 RESEARCH LAB/OFFICES-AO
2414422,NOAA-NMFS-NE-FSC-CHEMICAL STORAGE BUILDING 2-AO
2414430,NOAA-NMFS-SE-FSC-WET LABORATORY-AO
2414434,NOAA-NMFS-SE-FSC-LAFAYETTE 2-AO
2414436,NOAA-NMFS-SE-FSC-LAFAYETTE 1-AO
2414448,NOAA-NMFS-NW-FSC-Montlake Lab-AO
2414452,NOAA-NMFS-NW-AFSC-RESEARCH SUPP FACILITY(RSF 951-AO
2414466,NOAA-NMFS-NE-FSC-WOODS HOLE WAREHOUSE SPACE-AL
2414468,NOAA-NMFS-NE-FSC-STORAGE BUILDING-AO
2414470,NOAA-NMFS-NE-FSC-DIRECTOR'S RESIDENCE-AO
2414504,NOAA-NMFS-NW-FSC-MAIN STATION BUILDING-AO
2414506,NOAA-NMFS-NW-FSC-LABORATORY-AO
2414508,NOAA-NMFS-NW-FSC-BLDG #7 FREEZER/CULTURE-AO
2414528,NOAA-NMFS-NE-FSC-TANK FARM BUILDING-AO
2414534,NOAA-NMFS-SW--MARINE CULTURE LAB BUILDING-AO
2414548,NOAA-NMFS-SE-FSC-TURTLE FACILITY-AO
2414552,NOAA-NMFS-SE-FSC-BUILDING CENTRAL PLANT-AO
2414556,NOAA-NMFS-SE-FSC-BLDG 303-RESEARCH LABS/OFFICES-AO
2414572,NOAA-NMFS-NW-FSC-GARAGE AND STORAGE-AO
2414574,NOAA-NMFS-NW-FSC-BLDG F-1 MARINE FLOAT COMPLEX-AO
2414576,NOAA-NMFS-NW-FSC-BLDG 8 WAREHOUSE-AO
2414578,NOAA-NMFS-NW-FSC-BLDG 6 PATHOLOGY LAB AND OFFICES-AO
2414580,NOAA-NMFS-NW-FSC-BLDG #12 SALTWATER LAB/MAR LAB-AO
2414618,NOAA-NMFS-SE-FSC-FSC MAIN BUILDING-AO
2414620,NOAA-NMFS-SE-FSC-EHCFC BUILDING-AO
2414622,NOAA-NMFS-SE-FSC-BLDG 307 RESEARCH LAB/OFFICES-AO
2414624,NOAA-NMFS-SE-FSC-BLDG 301-SEA WATER LAB-AO
2414630,NOAA-NMFS-NW-FSC-BLDG 1 2 3/MAIN OFF/LAB/SHOP-AO
2414632,NOAA-NMFS-NW-FSC-BLDG #14 FISH BEHAVIOR (FLUME)-AO
2414634,NOAA-NMFS-NW--CAPTAIN R. BARRY FISHER BLDG-AO
2414658,NOAA-NMFS-NE-FSC-NARRAGANSETT-AO
2414660,NOAA-NMFS-NE-FSC-MAIN LAB BUILDING-AO
2414662,NOAA-NMFS-NE-FSC-CHEMICAL STORAGE BUILDING 3-AO
2414672,NOAA-NMFS-SW-FSC-SW FISHERIES CENTER BUILDING-AO
2414688,NOAA-NMFS-NW-FSC-MARINA SHOP-AO
2414692,NOAA - NMFS - OLE Office Warehouse Bldg Kodiak AK
2414708,NOAA-NMFS-NE-FSC-TIN GARAGE-AO
2414710,NOAA-NMFS-NE-FSC-OLD WORKSHOP/PUMPHOUSE-AO
2414714,NOAA-NMFS-NE-FSC-CONSTANT TEMP BUILDING-AO
2414730,"NOAA-NMFS-SE-FSC-NMFS GALVESTON, TX - BOAT BARN-AO"
2414732,NOAA-NMFS-SE-FSC-LAFAYETTE 4-AO
2414736,NOAA-NMFS-SE-FSC-FSC STATISTICS BUILDING-AO
2415381,NOAA-NMFS-NE-FSC-Aquarium/maintenance Building-AO
2415397,NOAA-NMFS-NE-FSC-Cottage-AO
2415399,NOAA-NMFS-NE-FSC-Chemical Storage Building 1-AO
2415526,NOAA-NMFS-NE-FSC-Woods Hole Warehouse-AO
2415551,NOAA-NMFS-AK-FSC-NMFS Storage  Kodiak Bldg S-18-AL
2415596,NOAA - NWS - Southern - NEXRAD - Albuquerque - AO
2415598,NOAA - NWS - Southern - NEXRAD - Amarillo - AO
2415604,NOAA - NWS - Southern - NEXRAD - Brownsville - AO
2415606,NOAA - NWS - Southern - NEXRAD - Corpus Christi - AO
2415607,NOAA - NWS - Southern - NEXRAD - El Paso - AO
2415610,NOAA - NWS - Southern - NEXRAD - Fort Worth - AO
2415612,NOAA - NWS - Southern - NEXRAD - Houston-Galveston - AO
2415614,NOAA - NWS - Southern - NEXRAD - Huntsville - AO
2415618,NOAA - NWS - Southern - NEXRAD - Brandon - AO
2415623,NOAA - NWS - Southern - NEXRAD - Little Rock - AO
2415626,NOAA - NWS - Southern - NEXRAD - Lubbock - AO
2415629,NOAA - NWS - Southern - NEXRAD - Memphis - AO
2415630,NOAA - NWS - Southern - NEXRAD - Miami - AO
2415632,NOAA - NWS - Southern - NEXRAD - Midland-Odessa - AO
2415636,NOAA - NWS - Southern - NEXRAD - Nashville - AO
2415638,NOAA - NWS - Southern - NEXRAD - New Orleans - AO
2415639,NOAA - NWS - Southern - NEXRAD - Oklahoma City - AO
2415640,NOAA - NWS - Southern - NEXRAD - San Angelo - AO
2415645,NOAA - NWS - Southern - NEXRAD - Tulsa #1 - AO
2415647,NOAA - NWS - Southern - NEXRAD - Tulsa #2 - AO
2415765,OAR - DAVID SKAGGS RESEARCH CENTER - GO
3154086,NOAA-NWS-Radio Tower-Norman OK - ARCHIVE
3158906,NOAA-NWS-Southern-ASOS-McAlester OK
3159051,NOAA-NWS-Southern-Radio Tower-Morristown TN
3165550,NOAA-NWS-Southern-WFO Norman-AO
3166407,NOAA-NWS-Southern-NEXRAD-Tulsa #3-AO
3166583,NOAA-NWS-Southern-NEXRAD-Fairfax OK-AO
3167074,Tower Lake Charles LA
3167123,Radio Tower Franklin
3175489,NOAA-NWS-WESTERN-Salt Lake City-AO
3178053,NOAA - NWS - Western - NEXRAD - POR - AO
3230052,NOAA - NWS - Southern - NEXRAD - Blountville - AO
3230085,NOAA - NWS - Southern - WFO Morristown - AO
3618364,ARCHIVE-NOAA-NFA-WRC-AO
3618367,NOAA - NMAO - Atlantic Marine Center
3618369,OCAO - Silver Spring Metro Center Campus
4412270,NOAA-OMAO-CROSBY PIER San Diego
4429412,NOAA - OAR Geophysical Station Pago Pago
4429414,NOAA - OAR ESRL GMD Generator Bldg Cape Matatula AS - AO
4796532,GLERL Bldg 3
4188890,NMFS-SE-FSC-LAFAYETTE CAMPUS
4191569,NMFS SEFC Lab Galveston TX Campus
4796531,GLERL Bldg 2 - vice garage
4193798,Warehouse - Bldg. 22-FULL SERVICE
4800343,GLERL Vessel
4297405,SSMC Building 4 - 1305 East West Hwy
4429416,NOAA - OAR -OAR ESRL GMD House Lot 9 Barrow AK - AO
4435541,"202 Delmas Ave, Pascagoula"
4429417,NOAA - OAR -OAR ESRL GMD House Lot 10 Barrow AK - AO
4429413,NOAA - OAR ESRL GMD Hudson Building Cape Matatula AS - AO
4302240,WRC - Research II - Building #4
4296562,Bldg 184 (Port Ops)
4297403,SSMC Building 3 - 1315 East West Hwy
4302236,WRC - Hangar #33
4190885,NMFS Newport OR Aquaculture Campus
4302231,WRC - Little Anchor Child Care Center
4302232,WRC - Warehouse - Building #8
4302237,WRC - Hangar #32
4302228,WRC - Auditorium - Building #9
4134799,NOAA_OCM
4134800,NOAA_OCM_Bldg 1
4134802,NOAA_OCM_Bldg 2
4302230,WRC - Cafeteria
4302234,NOAA-NWS-WESTERN-WRC WFO Seattle/Tacoma-AO
4188919,NMFS Hammond OR Campus
4190832,NMFS Salt Water Fish Rearing Bldg Mukilteo WA
4191640,NMFS SEFSC Key Biscayne FL Campus
4402728,NOAA-NMAO-OMAO Warehouse & Pier North Kingstown RI-AL
4190827,NMFS Mukilteo WA Campus
2339728,NOAA-NWS-EASTERN-WFO BALTIMORE/WASHINGTON-AO-DO NOT USE
5067141,WFO TAMPA-AO
4189111,NOAA-OAR-GFDL Princeton Campus
2414394,NOAA-NMFS-NW-FSC-BEHAVIOR LAB-AO
2406469,NOS - GFNMS - Bldg 1907 - Shop/Garage - AL
2414568,NOAA-NMFS-NW-FSC-TOWER BLDG-AO
2414570,NOAA-NMFS-NW-FSC-SOUTH BUILDING-AO
2414582,NOAA-NMFS-NW-FSC-AQUALAB-AO
4297402,SSMC Building 2 - 1325 East West Hwy
4430616,"151 Watts Ave, Pascagoula"
2414742,NOAA-NMFS-NW-FSC-WEST BLDG-AO
4296560,Bldg 130 (Warehouse)
4190857,NMFS NEFSC Woods Hole MA Campus
4193666,OCAO WRC Seattle WA Campus
4201070,NESDIS - FCDAS CAMPUS
2414392,NOAA-NMFS-NW-FSC-INTERIM PILOT PLANT-AO
1283225,ARCHIVE - NOAA - NOS - ONMS - Dr. Nancy Foster Complex
4296558,Bldg 166
2414446,NOAA-NMFS-NW-FSC-HAZMAT STORAGE BUILDING-AO
4187877,NOAA-OAR-GLERL-Bldg 1
4187875,NOAA-OAR-GLERL-Bldg 3
4296546,OCAO - Inouye Regional Center
4189225,NMFS Milford Biological Lab Campus
4191047,NOAA - OAR - Oak Ridge TN Campus
4190843,NMFS Narragansett Lab Campus
4191542,NMFS Port Orchard WA Campus
4193792,OCAO - Boulder Labs
4188966,NMFS Juneau AK (Auke Bay Labs) Campus
4197714,NOAA - OAR - Fritz Peak Observatory campus
4250558,NOAA - NOS - Oxford Lab campus - AO
4075414,NOAA Center for Weather and Climate Prediction (NCWCP)
4202530,NESDIS - FCDAS COA - AO
4190651,NESDIS - FCDAS FSOF - AO
4202534,NESDIS - FCDAS WATER STORAGE BLDG - AO
2406789,NOS - GFNMS - Bldg 1905 - Sampling Station - AL
4430621,"166 Water St, Woods Hole"
4429407,NOAA - OAR - ARL Modular Office Oak Ridge TN - AO
4201036,NESDIS - WCDAS POWERHOUSE BLDG - AO
4796530,GLERL Bldg 1
4796579,NOAA - OAR - GLERL
